source,word,n
official,household,104
official,graze,103
official,benefit,63
Independent,land,54
official,plan,54
official,livestock,49
official,increase,46
official,survey,45
official,woman,37
official,social,35
official,stakeholder,35
official,activity,34
Independent,graze,31
Independent,provide,31
official,baseline,30
official,impact,29
Independent,livestock,27
Independent,fund,25
Independent,benefit,23
Independent,resource,23
official,provide,23
Independent,conflict,22
Independent,market,22
official,committee,22
official,period,22
official,water,22
Independent,county,21
official,agreement,21
Independent,agreement,20
Independent,local,20
official,datum,20
official,meeting,20
official,monitor,20
Independent,conservation,19
official,climate,19
official,milk,19
official,result,19
official,revenue,19
Independent,pastoralist,18
official,comms,18
official,proportion,18
Independent,act,17
Independent,climate,17
official,include,17
official,poor,17
Independent,merti,16
Independent,revenue,16
Independent,validator,16
Independent,wildlife,16
official,change,16
official,scenario,16
Independent,document,15
Independent,sell,15
Independent,soil,15
official,effort,15
official,information,15
Independent,follow,14
Independent,information,14
Independent,pastoral,14
official,conduct,14
official,improve,14
official,income,14
official,positive,14
official,response,14
official,security,14
official,soil,14
Independent,activity,13
Independent,cattle,13
Independent,change,13
Independent,legal,13
Independent,time,13
official,coordinator,13
official,drought,13
official,forage,13
official,herder,13
official,identify,13
official,key,13
official,month,13
official,question,13
official,share,13
official,time,13
Independent,board,12
Independent,indigenous,12
Independent,issue,12
Independent,participate,12
official,cattle,12
official,chairman,12
official,circle,12
official,land,12
official,participate,12
official,people,12
official,season,12
Independent,access,11
Independent,accord,11
Independent,isiolo,11
Independent,livelihood,11
Independent,note,11
Independent,process,11
official,communicate,11
official,expect,11
official,focus,11
official,follow,11
official,grass,11
official,head,11
official,hold,11
official,implementation,11
official,multiple,11
official,net,11
official,past,11
Independent,address,10
Independent,animal,10
Independent,claim,10
Independent,consultation,10
Independent,date,10
Independent,establish,10
Independent,evidence,10
Independent,herder,10
Independent,include,10
Independent,international,10
Independent,nrts,10
Independent,people,10
Independent,period,10
Independent,samburu,10
Independent,traditional,10
official,condition,10
official,extend,10
official,form,10
official,indicator,10
official,interview,10
official,manager,10
official,numb,10
official,previous,10
official,reduce,10
official,represent,10
official,spin-dry,10
Independent,consent,9
Independent,distribute,9
Independent,due,9
Independent,environmental,9
Independent,implement,9
Independent,inform,9
Independent,law,9
Independent,management,9
Independent,share,9
Independent,social,9
Independent,trade,9
official,access,9
official,ccb,9
official,continue,9
official,demonstrate,9
official,discuss,9
official,encroachment,9
official,experience,9
official,governance,9
official,helpful,9
official,low,9
official,management,9
official,public,9
official,regional,9
official,size,9
official,support,9
official,wellbeing,9
Independent,drought,8
Independent,informant,8
Independent,lead,8
Independent,ownership,8
Independent,plan,8
Independent,private,8
Independent,protect,8
Independent,provision,8
Independent,public,8
Independent,receive,8
Independent,rule,8
Independent,sale,8
Independent,sustainable,8
official,adaptation,8
official,annual,8
official,base,8
official,choose,8
official,compare,8
official,development,8
official,due,8
official,feedback,8
official,implement,8
official,informant,8
official,meet,8
official,occur,8
official,perceive,8
official,precipitation,8
official,review,8
official,rotational,8
official,sign,8
official,variability,8
official,village,8
Independent,affect,7
Independent,announcement,7
Independent,comment,7
Independent,control,7
Independent,economic,7
Independent,establishment,7
Independent,ethnic,7
Independent,form,7
Independent,free,7
Independent,gun,7
Independent,limit,7
Independent,manage,7
Independent,meeting,7
Independent,osman,7
Independent,policy,7
Independent,prior,7
Independent,proponent,7
Independent,question,7
Independent,refer,7
Independent,require,7
Independent,september,7
Independent,site,7
Independent,start,7
Independent,system,7
Independent,understand,7
Independent,vers,7
Independent,village,7
official,announcement,7
official,drink,7
official,education,7
official,exceptional,7
official,mechanism,7
official,post,7
official,sample,7
official,stage,7
Independent,approve,6
Independent,cost,6
Independent,court,6
Independent,development,6
Independent,exist,6
Independent,financial,6
Independent,focus,6
Independent,impact,6
Independent,increase,6
Independent,initiative,6
Independent,intensify,6
Independent,interview,6
Independent,involve,6
Independent,letter,6
Independent,level,6
Independent,natural,6
Independent,north,6
Independent,organization,6
Independent,pasture,6
Independent,police,6
Independent,price,6
Independent,promote,6
Independent,ranch,6
Independent,region,6
Independent,rotational,6
Independent,sign,6
Independent,support,6
Independent,town,6
Independent,validation,6
official,board,6
official,card,6
official,decrease,6
official,develop,6
official,dry,6
official,effect,6
official,employ,6
official,family,6
official,frequency,6
official,health,6
official,history,6
official,market,6
official,mitigation,6
official,negative,6
official,ownership,6
official,participation,6
official,quality,6
official,rainfall,6
official,relative,6
official,representative,6
official,select,6
official,september,6
official,sick,6
official,socialcomms,6
official,specific,6
official,stand,6
official,suggest,6
official,train,6
official,trend,6
official,understand,6
official,wealth,6
official,write,6
Independent,add,5
Independent,arm,5
Independent,associate,5
Independent,basis,5
Independent,begin,5
Independent,bill,5
Independent,call,5
Independent,cash,5
Independent,challenge,5
Independent,complete,5
Independent,confer,5
Independent,contract,5
Independent,day,5
Independent,define,5
Independent,deny,5
Independent,develop,5
Independent,elder,5
Independent,expect,5
Independent,explain,5
Independent,file,5
Independent,generate,5
Independent,government,5
Independent,gross,5
Independent,half,5
Independent,idea,5
Independent,individual,5
Independent,investment,5
Independent,kenyas,5
Independent,kill,5
Independent,lakole,5
Independent,low,5
Independent,million,5
Independent,mohamed,5
Independent,money,5
Independent,national,5
Independent,obtain,5
Independent,operation,5
Independent,photo,5
Independent,plain,5
Independent,pose,5
Independent,practice,5
Independent,priority,5
Independent,program,5
Independent,programme,5
Independent,recent,5
Independent,relate,5
Independent,representative,5
Independent,rest,5
Independent,result,5
Independent,set,5
Independent,verification,5
official,ability,5
official,addition,5
official,additional,5
official,anticipate,5
official,approve,5
official,availability,5
official,bank,5
official,child,5
official,conflict,5
official,cover,5
official,design,5
official,employment,5
official,establish,5
official,ethnic,5
official,food,5
official,gather,5
official,importance,5
official,improvement,5
official,individual,5
official,issue,5
official,link,5
official,livelihood,5
official,majority,5
official,manage,5
official,marginalize,5
official,october,5
official,owner,5
official,pastoralist,5
official,personnel,5
official,practice,5
official,realize,5
official,risk,5
official,sale,5
official,sell,5
official,stay,5
official,vulnerable,5
official,wet,5
Independent,agendum,4
Independent,air,4
Independent,april,4
Independent,attempt,4
Independent,base,4
Independent,borana,4
Independent,bring,4
Independent,buy,4
Independent,cherab,4
Independent,colonial,4
Independent,committee,4
Independent,compliance,4
Independent,continue,4
Independent,convert,4
Independent,country,4
Independent,critical,4
Independent,datum,4
Independent,demonstrate,4
Independent,determine,4
Independent,emission,4
Independent,emphasis,4
Independent,environment,4
Independent,exacerbate,4
Independent,facilitate,4
Independent,feel,4
Independent,galgalo,4
Independent,generation,4
Independent,global,4
Independent,governance,4
Independent,hand,4
Independent,hold,4
Independent,influence,4
Independent,intent,4
Independent,item,4
Independent,knowledge,4
Independent,laikipia,4
Independent,language,4
Independent,late,4
Independent,lie,4
Independent,manager,4
Independent,mechanism,4
Independent,meet,4
Independent,monitor,4
Independent,offer,4
Independent,official,4
Independent,owner,4
Independent,participation,4
Independent,partner,4
Independent,past,4
Independent,pay,4
Independent,picture,4
Independent,post,4
Independent,potential,4
Independent,reality,4
Independent,reduction,4
Independent,register,4
Independent,regulation,4
Independent,represent,4
Independent,request,4
Independent,resident,4
Independent,resourcebased,4
Independent,restriction,4
Independent,rustle,4
Independent,significant,4
