topic,term,beta
1,household,0.029087848696779568
1,graze,0.0288080199383924
1,benefit,0.017619409678253956
1,plan,0.01510390293060395
1,livestock,0.013703911701021691
1,increase,0.012864763297083172
1,survey,0.012585904823382187
1,woman,0.010348443298143939
1,stakeholder,0.0097894096618508
1,social,0.009788884571096371
1,activity,0.009509197566196323
1,baseline,0.00839050828055508
1,impact,0.008111217980888655
1,provide,0.006430528204965671
1,committee,0.006153370081953391
2,merti,0.019023653578200607
2,livestock,0.014272672161734272
2,land,0.011891796697308606
2,establish,0.00832743685456431
2,people,0.008325850056325154
2,establishment,0.008325167266379331
2,gun,0.008322848440462762
2,osman,0.008322848440462762
2,village,0.007136692309848921
2,county,0.007134487454771498
2,graze,0.0071311089438940035
2,indigenous,0.005947611812248291
2,follow,0.005947063639815452
2,rule,0.005946530788910138
2,market,0.005946471484131295
3,resource,0.01760795917327391
3,conflict,0.016769438755480464
3,pastoralist,0.013415567744348685
3,pastoral,0.011734350789887637
3,local,0.010900715458791595
3,climate,0.010900438830255571
3,land,0.010897220575379925
3,graze,0.008380190477122322
3,change,0.007546218267684526
3,conservation,0.007546181888865179
3,access,0.007545557975308719
3,county,0.0075440795027351395
3,traditional,0.006707696781041638
3,environmental,0.005867841022135374
3,livestock,0.00586606598331241
4,land,0.016735095541661235
4,provide,0.014576375509292592
4,fund,0.01025719169392133
4,agreement,0.009716381486141313
4,act,0.008635091475791746
4,validator,0.008634427576989335
4,benefit,0.00863318844366795
4,document,0.00809777210819307
4,graze,0.008090408417727938
4,information,0.007556492848400564
4,market,0.007017911333369575
4,revenue,0.007017038993564609
4,legal,0.00647852536785209
4,participate,0.006477309918492061
4,consultation,0.005398537796665953
