Topic,Highest_Prob,FREX,Lift,Score
Topic 1,household,circle,administrative,household
Topic 2,merti,merti,abandon,abandon
Topic 3,resource,pastoral,abrupt,abrupt
Topic 4,land,validator,validation,absence
Topic 5,graze,scenario,analysis,survey
Topic 6,livestock,gun,abdi,merti
Topic 7,conflict,resource,abstract,pastoral
Topic 8,provide,proponent,absence,validator
Topic 9,benefit,milk,announce,administrative
Topic 10,land,osman,abdirahman,gun
Topic 11,pastoralist,conflict,acknowledge,resource
Topic 12,fund,validation,abundant,act
Topic 13,plan,comms,antagonistic,woman
Topic 14,establish,lakole,abundance,osman
Topic 15,pastoral,pastoralist,acled,conflict
Topic 16,agreement,confer,accept,document
Topic 17,livestock,positive,anticipatory,benefit
Topic 18,people,mohamed,adirt,lakole
Topic 19,local,air,acre,pastoralist
Topic 20,act,contract,accordance,information
Topic 21,increase,proportion,appropriately,baseline
Topic 22,establishment,plain,administration,plain
Topic 23,climate,colonial,adano,environmental
Topic 24,validator,explain,account,proponent
Topic 25,survey,extend,approximately,milk
Topic 26,gun,cherab,advocacy,mohamed
Topic 27,land,exacerbate,administer,air
Topic 28,benefit,gross,accountable,participate
