source,word,n,tf,idf,tf_idf
Independent,county,21,0.005402624131721122,0.6931471805599453,0.0037448136845276182
official,milk,19,0.005313199105145414,0.6931471805599453,0.0036828289794851683
official,comms,18,0.0050335570469798654,0.6931471805599453,0.0034889958753017377
official,proportion,18,0.0050335570469798654,0.6931471805599453,0.0034889958753017377
official,scenario,16,0.0044742729306487695,0.6931471805599453,0.0031013296669348783
Independent,act,17,0.004373552868536146,0.6931471805599453,0.0030315158398556905
Independent,merti,16,0.004116285052739903,0.6931471805599453,0.0028531913786877094
Independent,validator,16,0.004116285052739903,0.6931471805599453,0.0028531913786877094
official,positive,14,0.0039149888143176735,0.6931471805599453,0.0027136634585680185
Independent,pastoral,14,0.0036017494211474143,0.6931471805599453,0.002496542456351745
official,circle,12,0.003355704697986577,0.6931471805599453,0.0023259972502011586
official,grass,11,0.003076062639821029,0.6931471805599453,0.002132164146017729
Independent,isiolo,11,0.002829945973758683,0.6931471805599453,0.0019615690728478
official,extend,10,0.002796420581655481,0.6931471805599453,0.001938331041834299
official,indicator,10,0.002796420581655481,0.6931471805599453,0.001938331041834299
official,previous,10,0.002796420581655481,0.6931471805599453,0.001938331041834299
official,spin-dry,10,0.002796420581655481,0.6931471805599453,0.001938331041834299
Independent,animal,10,0.002572678157962439,0.6931471805599453,0.001783244611679818
Independent,claim,10,0.002572678157962439,0.6931471805599453,0.001783244611679818
Independent,nrts,10,0.002572678157962439,0.6931471805599453,0.001783244611679818
official,ccb,9,0.0025167785234899327,0.6931471805599453,0.0017444979376508689
official,encroachment,9,0.0025167785234899327,0.6931471805599453,0.0017444979376508689
official,helpful,9,0.0025167785234899327,0.6931471805599453,0.0017444979376508689
official,regional,9,0.0025167785234899327,0.6931471805599453,0.0017444979376508689
Independent,environmental,9,0.002315410342166195,0.6931471805599453,0.0016049201505118364
Independent,law,9,0.002315410342166195,0.6931471805599453,0.0016049201505118364
Independent,trade,9,0.002315410342166195,0.6931471805599453,0.0016049201505118364
official,adaptation,8,0.0022371364653243847,0.6931471805599453,0.0015506648334674392
official,choose,8,0.0022371364653243847,0.6931471805599453,0.0015506648334674392
official,compare,8,0.0022371364653243847,0.6931471805599453,0.0015506648334674392
official,feedback,8,0.0022371364653243847,0.6931471805599453,0.0015506648334674392
official,precipitation,8,0.0022371364653243847,0.6931471805599453,0.0015506648334674392
Independent,private,8,0.0020581425263699513,0.6931471805599453,0.0014265956893438547
Independent,protect,8,0.0020581425263699513,0.6931471805599453,0.0014265956893438547
Independent,receive,8,0.0020581425263699513,0.6931471805599453,0.0014265956893438547
Independent,rule,8,0.0020581425263699513,0.6931471805599453,0.0014265956893438547
official,drink,7,0.0019574944071588368,0.6931471805599453,0.0013568317292840092
official,exceptional,7,0.0019574944071588368,0.6931471805599453,0.0013568317292840092
official,sample,7,0.0019574944071588368,0.6931471805599453,0.0013568317292840092
official,stage,7,0.0019574944071588368,0.6931471805599453,0.0013568317292840092
Independent,control,7,0.0018008747105737071,0.6931471805599453,0.0012482712281758725
Independent,free,7,0.0018008747105737071,0.6931471805599453,0.0012482712281758725
Independent,gun,7,0.0018008747105737071,0.6931471805599453,0.0012482712281758725
