source,word,n,tf_idf
Independent,county,21,0.0037448136845276182
Independent,act,17,0.0030315158398556905
Independent,merti,16,0.0028531913786877094
Independent,validator,16,0.0028531913786877094
Independent,pastoral,14,0.002496542456351745
Independent,isiolo,11,0.0019615690728478
Independent,animal,10,0.001783244611679818
Independent,claim,10,0.001783244611679818
Independent,nrts,10,0.001783244611679818
Independent,environmental,9,0.0016049201505118364
Independent,law,9,0.0016049201505118364
Independent,trade,9,0.0016049201505118364
official,milk,19,0.0036828289794851683
official,comms,18,0.0034889958753017377
official,proportion,18,0.0034889958753017377
official,scenario,16,0.0031013296669348783
official,positive,14,0.0027136634585680185
official,circle,12,0.0023259972502011586
official,grass,11,0.002132164146017729
official,extend,10,0.001938331041834299
official,indicator,10,0.001938331041834299
official,previous,10,0.001938331041834299
official,spin-dry,10,0.001938331041834299
